open,max,min,close
1.28261,1.28267,1.28217,1.28246
1.28253,1.28268,1.28205,1.2824
1.28247,1.28261,1.28197,1.28205
1.28193,1.28218,1.2815,1.28177
1.28174,1.28183,1.28087,1.28166
1.28156,1.28197,1.28104,1.28145
1.28135,1.28157,1.28094,1.28124
1.28121,1.28155,1.2808,1.28152
1.28149,1.28158,1.28085,1.28117
1.32607,1.3266,1.32607,1.3264
1.32642,1.32647,1.32628,1.32634
1.32632,1.32639,1.32627,1.32629
1.32638,1.32654,1.32627,1.32654
1.32658,1.32712,1.32649,1.32712
1.32715,1.32739,1.32704,1.32714
1.32709,1.32739,1.32703,1.32739
1.3275,1.3277,1.3275,1.32759
1.32757,1.32777,1.32748,1.32758
1.32755,1.3277,1.32749,1.3276
1.32763,1.32767,1.3274,1.32742
1.3274,1.32745,1.32701,1.32707
1.32707,1.32707,1.32678,1.32678
1.32673,1.32681,1.32648,1.32668
1.32667,1.32677,1.32611,1.32615
1.32619,1.3263,1.32614,1.3263
1.32629,1.3264,1.32625,1.32639
1.3264,1.32683,1.3264,1.32683
1.32695,1.32695,1.32674,1.32676
1.32677,1.3269,1.32673,1.3269
1.32692,1.32704,1.32672,1.32672
1.32671,1.3268,1.32629,1.32629
1.32631,1.32632,1.32604,1.32621
1.32621,1.3263,1.32617,1.32629
1.32629,1.32656,1.32619,1.32619
1.32617,1.32624,1.32569,1.32581
1.3258,1.3258,1.32544,1.32548
1.32548,1.32561,1.32544,1.32561
1.3319,1.33262,1.3319,1.33244
1.33245,1.33377,1.33245,1.3336
1.33358,1.33475,1.33354,1.33458
1.3346,1.33508,1.33452,1.33471
1.33471,1.33471,1.33438,1.33462
1.3346,1.3352,1.3346,1.33487
1.33487,1.33548,1.3344,1.33443
1.33443,1.33443,1.33389,1.33419
1.33428,1.3344,1.33371,1.33371
1.33377,1.33377,1.33338,1.33359
1.3336,1.3336,1.33331,1.33332
1.33332,1.33335,1.33248,1.33264
1.3326,1.333,1.33246,1.33298
1.33299,1.33352,1.3328,1.33342
1.3334,1.33341,1.33298,1.33318
1.33327,1.33359,1.33316,1.33335
1.33329,1.33418,1.33319,1.33418
1.33411,1.33431,1.33389,1.33417
1.33417,1.33417,1.33394,1.33396
1.33399,1.33408,1.33354,1.33355
1.33355,1.33378,1.33349,1.33349
1.33343,1.3338,1.33333,1.33376
1.33372,1.33373,1.33359,1.33361
1.33362,1.3337,1.33321,1.33348
1.33347,1.33354,1.33308,1.33308
1.33308,1.3332,1.33285,1.33294
1.33294,1.33294,1.3324,1.33242
1.33242,1.33262,1.33211,1.33211
1.37924,1.3797,1.37916,1.37965
1.37966,1.38011,1.37963,1.38007
1.38006,1.38048,1.37995,1.38024
1.38022,1.38062,1.38022,1.3803
1.38029,1.38077,1.38006,1.38076
1.38074,1.38077,1.38037,1.38057
1.38054,1.38077,1.38019,1.38077
1.38077,1.38101,1.3806,1.38088
1.38088,1.38103,1.38064,1.38101
1.381,1.381,1.38068,1.38091
1.38097,1.38098,1.3804,1.38046
1.38046,1.38046,1.38013,1.38019
1.3802,1.38035,1.38019,1.38023
1.38021,1.38027,1.37997,1.37999
1.38002,1.38002,1.37951,1.37975
1.37976,1.37997,1.37958,1.37971
1.37971,1.38017,1.37971,1.38017
1.3802,1.38038,1.38007,1.38034
1.38034,1.38049,1.38011,1.38049
1.38057,1.38067,1.38008,1.38008
1.38008,1.38039,1.38008,1.38032
1.38034,1.38037,1.38023,1.38023
1.38024,1.38039,1.38011,1.38018
1.38016,1.38016,1.37958,1.37961
1.37961,1.37985,1.37961,1.37982
1.37987,1.37999,1.37952,1.37952
1.37949,1.3795,1.3793,1.37939
1.37941,1.37964,1.37932,1.37964
1.44965,1.4501,1.44964,1.44983
1.44985,1.44996,1.44965,1.44974
1.44975,1.45032,1.44969,1.45012
1.45008,1.45011,1.44982,1.44996
1.44998,1.45068,1.44994,1.45032
1.45031,1.45058,1.45018,1.45048
1.45046,1.45129,1.45044,1.45129
1.45129,1.4513,1.45081,1.45084
1.45084,1.45124,1.4508,1.45102
1.45102,1.45131,1.45082,1.45086
1.45086,1.45089,1.4507,1.45079
1.45078,1.4508,1.45064,1.45074
1.45074,1.45074,1.4503,1.45041
1.4504,1.45044,1.4502,1.45021
1.45023,1.45033,1.44985,1.44985
1.44983,1.45024,1.44979,1.45024
1.45023,1.45042,1.4502,1.45035
1.45035,1.4504,1.45014,1.45028
1.45028,1.4506,1.45025,1.45052
1.45052,1.45077,1.45045,1.45077
1.45075,1.45075,1.45022,1.45022
1.45024,1.45024,1.44979,1.44988
1.44985,1.44985,1.44957,1.44978
1.44981,1.45007,1.4497,1.44975
1.44978,1.44988,1.44955,1.44958
1.44954,1.44965,1.44936,1.44939
